id,batch,subject,questionText,optionA,optionB,optionC,optionD,correctOption,marks,testType,language,explanation,imageUrl,text_mr
MATH-Q-101,"Police Bharti; Vanrakshak; SSC GD","M1","Simplify the fraction: $\frac{a^2-b^2}{a-b}$","$a+b$","$a-b$","$a^2+b^2$","$\frac{a+b}{2}$","A",1,"Subject-wise","Marathi/English","Factoring $a^2-b^2 = (a-b)(a+b)$ and canceling $(a-b)$ yields $a+b$.","","अपूर्णांक विस्तार सुलभ करा: $\frac{a^2-b^2}{a-b}$"
MATH-Q-102,"Police Bharti; SSC GD","M1","Solve for $x$: $x^2 - 5x + 6 = 0$","$x = 2, 3$","$x = -2, -3$","$x = 1, 6$","$x = 0, 5$","A",1,"Subject-wise","Marathi/English","Factoring $(x-2)(x-3) = 0$ gives roots $x = 2$ or $x = 3$.","","वर्गसमीकरण सोडवा: $x^2 - 5x + 6 = 0$"
MATH-Q-103,"Police Bharti; Vanrakshak","M1","Find the hypotenuse of a right-angled triangle using $\sqrt{x^2 + y^2}$ where $x = 6\text{ cm}$ and $y = 8\text{ cm}$.","10 cm","14 cm","12 cm","100 cm","A",1,"Subject-wise","Marathi/English","$\sqrt{6^2 + 8^2} = \sqrt{36 + 64} = \sqrt{100} = 10\text{ cm}$.","","काटकोन त्रिकोणात $x = 6\text{ सेमी}$ व $y = 8\text{ सेमी}$ असताना कर्ण $\sqrt{x^2 + y^2}$ चे मूल्य काढा."
MATH-Q-104,"ALL","M1","What is the trigonometric identity value for $\sin^2\theta + \cos^2\theta$?","1","0","2","$\tan\theta$","A",1,"Subject-wise","Marathi/English","The fundamental Pythagorean trigonometric identity states $\sin^2\theta + \cos^2\theta = 1$.","","त्रिकोणमितीय सूत्र $\sin^2\theta + \cos^2\theta$ चे मूल्य काय असेल?"
MATH-Q-105,"ALL","M1","Solve for $x$ using the quadratic formula $x = \frac{-b \pm \sqrt{b^2-4ac}}{2a}$ for $x^2 + 4x + 4 = 0$.","$x = -2$","$x = 2$","$x = 4$","$x = -4$","A",1,"Subject-wise","Marathi/English","Here $a=1, b=4, c=4$. Discriminant $b^2 - 4ac = 0$, so $x = \frac{-4}{2} = -2$.","","वर्गसमीकरण सूत्र $x = \frac{-b \pm \sqrt{b^2-4ac}}{2a}$ वापरून $x^2 + 4x + 4 = 0$ सोडवा."
MATH-Q-106,"Police Bharti; SSC GD","M1","If $3x + 7 = 22$, find the value of $x^2$.","25","5","16","9","A",1,"Subject-wise","Marathi/English","$3x = 15 \implies x = 5 \implies x^2 = 25$.","","जर $3x + 7 = 22$ असेल, तर $x^2$ चे मूल्य किती?"
MATH-Q-107,"Police Bharti; Vanrakshak","M1","Calculate the value of $\frac{2^5 \times 2^3}{2^4}$.","16","8","32","64","A",1,"Subject-wise","Marathi/English","$\frac{2^{5+3}}{2^4} = 2^{8-4} = 2^4 = 16$.","","$\frac{2^5 \times 2^3}{2^4}$ ची किंमत काढा."
MATH-Q-108,"ALL","M1","Find the area of a circle with radius $r = 7\text{ cm}$ using $A = \pi r^2$ where $\pi = \frac{22}{7}$.","$154\text{ cm}^2$","$44\text{ cm}^2$","$308\text{ cm}^2$","$144\text{ cm}^2$","A",1,"Subject-wise","Marathi/English","$A = \frac{22}{7} \times 7 \times 7 = 154\text{ cm}^2$.","","$r = 7\text{ सेमी}$ त्रिज्या असलेल्या वर्तुळाचे क्षेत्रफळ $A = \pi r^2$ सुत्राने काढा."
MATH-Q-109,"Police Bharti; Vanrakshak","M1","Evaluate $\sqrt{144} + \sqrt{81} - \sqrt{25}$.","16","18","20","15","A",1,"Subject-wise","Marathi/English","$12 + 9 - 5 = 16$.","","$\sqrt{144} + \sqrt{81} - \sqrt{25}$ चे मूल्य किती?"
MATH-Q-110,"ALL","M1","If ratio $\frac{x}{y} = \frac{4}{5}$, find $\frac{2x + 3y}{5y - x}$.","$\frac{23}{21}$","$\frac{20}{21}$","$\frac{23}{19}$","1","A",1,"Subject-wise","Marathi/English","Substitute $x=4, y=5 \implies \frac{2(4)+3(5)}{5(5)-4} = \frac{8+15}{25-4} = \frac{23}{21}$.","","जर गुणोत्तर $\frac{x}{y} = \frac{4}{5}$ असेल, तर $\frac{2x + 3y}{5y - x}$ काढा."
