Question ID,Batch,Subject,Question (Marathi/English),Option A,Option B,Option C,Option D,Correct Answer,Marks,Test Type,Language
PB-MAT-001,Police Bharti,Mathematics,"??? ?????????? 20% ?????? 40, ?? ?? ?????? ?????",150,200,180,220,B,1,Subject-wise,Marathi/English
PB-MAT-002,Police Bharti,Mathematics,"12, 24, 48, 96, ? ?? ????????? ????? ?????? ??????",144,172,192,180,C,1,Subject-wise,Marathi/English
PB-MAT-003,Police Bharti,Mathematics,??? ??????? ????? ??.500 ???. ?????? 10% ??? ??????? ?????? ????? ?????,450,480,470,460,A,1,Subject-wise,Marathi/English
PB-MAT-004,Police Bharti,Mathematics,??? ????????? ????? 45 ? ??? 9 ???. ???? ?????? ??????,27,28,24,30,A,1,Subject-wise,Marathi/English
PB-MAT-005,Police Bharti,Mathematics,5 ????? ?? ??? 12 ?????? ????? ?????. ??? ??? 6 ????? ???? ?????? ????? ??????,10,8,9,11,A,1,Subject-wise,Marathi/English
PB-GK-001,Police Bharti,General Knowledge & Current Affairs,????????????? ??????? ??????,????,?????,??????,?????,B,1,Subject-wise,Marathi/English
PB-GK-002,Police Bharti,General Knowledge & Current Affairs,??????? ????? ????????? ??? ?????,????? ????,???????? ?????,???????? ??????,??????? ?????,B,1,Subject-wise,Marathi/English
PB-GK-003,Police Bharti,General Knowledge & Current Affairs,?????????????? ?????? ???? ??? ??????,????,??????,???????,????,C,1,Subject-wise,Marathi/English
PB-GK-004,Police Bharti,General Knowledge & Current Affairs,?????? ??????? ??? ???? ?????,15 ????? 1947,26 ???????? 1950,26 ????????? 1949,2 ??????? 1950,B,1,Subject-wise,Marathi/English
PB-GK-005,Police Bharti,General Knowledge & Current Affairs,'???? ??????' ?? ?????? ???? ????,?????????? ?????,?????????? ????????????,?????????? ???,??? ?????? ????,B,1,Subject-wise,Marathi/English
PB-MAR-001,Police Bharti,Marathi Grammar,'?????' ?? ??????? ???????????? ???? ??????,??????,?????,????,????,B,1,Subject-wise,Marathi/English
PB-MAR-002,Police Bharti,Marathi Grammar,'???' ?? ??????? ???? ??????,?????????,???????????,???????????,?????? ????,B,1,Subject-wise,Marathi/English
PB-MAR-003,Police Bharti,Marathi Grammar,'?? ????? ????' ?? ????????? ???????? ??????,??,?????,????,?????? ????,C,1,Subject-wise,Marathi/English
PB-MAR-004,Police Bharti,Marathi Grammar,'????' ?? ??????????? ??? ??? ??????,????,?????,???,????,B,1,Subject-wise,Marathi/English
PB-MAR-005,Police Bharti,Marathi Grammar,????????? ????? ???? ??????? ????,?????,??,?????,?????,B,1,Subject-wise,Marathi/English
PB-INT-001,Police Bharti,Intelligence Test,"2, 6, 12, 20, 30, ? ????? ?????? ??????",40,42,44,36,B,1,Subject-wise,Marathi/English
PB-INT-002,Police Bharti,Intelligence Test,"?? 'CAT' ?? '24120' ??? ????? ????, ?? 'DOG' ?? ??? ????? ??????",4157,4715,4157,4257,A,1,Subject-wise,Marathi/English
PB-INT-003,Police Bharti,Intelligence Test,????????? ?????? ??? ??????,?????,???,????,???????,C,1,Subject-wise,Marathi/English
PB-INT-004,Police Bharti,Intelligence Test,?? ????????? ???? ???? ??? ????? ??????? ??????? ????? ???? ???? ?????,?????,??????,?????,??????,C,1,Subject-wise,Marathi/English
PB-INT-005,Police Bharti,Intelligence Test,A ?? ??? B ???. B ?? ?? C ???. C ?? A ?? ??? ????? ????,????,??,?????,???,B,1,Subject-wise,Marathi/English
VR-MAR-001,Vanrakshak,Marathi,'?????' ?? ??????? ????????? ???? ??????,???,???,???,??,B,2,Subject-wise,Marathi/English
VR-MAR-002,Vanrakshak,Marathi,'????' ?? ??????? ???? ?????? ??????,??????? ????,???????? ????,????????,????????? ????,C,2,Subject-wise,Marathi/English
VR-MAR-003,Vanrakshak,Marathi,'?? ?????? ?????' ?? ????????? ????? ??????,??????,??,?????,?????? ????,B,2,Subject-wise,Marathi/English
VR-MAR-004,Vanrakshak,Marathi,'????' ?? ??????? ???????????? ???? ??????,????,????,?????,????,B,2,Subject-wise,Marathi/English
VR-MAR-005,Vanrakshak,Marathi,????????? ????? ???? ?????? ????,?????,???,?????,????,A,2,Subject-wise,Marathi/English
VR-ENG-001,Vanrakshak,English,Choose the correct synonym of 'Forest':,Desert,Woodland,Ocean,Mountain,B,2,Subject-wise,Marathi/English
VR-ENG-002,Vanrakshak,English,Fill in the blank: The tiger ___ in the forest.,live,lives,living,lived (past),B,2,Subject-wise,Marathi/English
VR-ENG-003,Vanrakshak,English,Choose the antonym of 'Protect':,Save,Guard,Harm,Defend,C,2,Subject-wise,Marathi/English
VR-ENG-004,Vanrakshak,English,Identify the correct passive voice: 'The guard planted a tree.',A tree was planted by the guard.,A tree plants the guard.,The guard plants a tree.,A tree is planted the guard.,A,2,Subject-wise,Marathi/English
VR-ENG-005,Vanrakshak,English,Choose the correctly spelled word:,Enviroment,Environment,Envirnoment,Enviroment,B,2,Subject-wise,Marathi/English
VR-GK-001,Vanrakshak,General Knowledge,?????????????? ?????? ???? ??????? ??????? ??????,??????,??????,????,?????????,B,2,Subject-wise,Marathi/English
VR-GK-002,Vanrakshak,General Knowledge,'????????? ?? ????' ??????? ????? ????? ?????,1988,1992,1980,2000,A,2,Subject-wise,Marathi/English
VR-GK-003,Vanrakshak,General Knowledge,???????? ???????? ????????? ?????? ????? ??????,??????????,???? ??????,????????,??????? ??????,B,2,Subject-wise,Marathi/English
VR-GK-004,Vanrakshak,General Knowledge,?????? ?? ??? ??????? ??????? ????? ???? ?????,5 ???,21 ?????,22 ??????,16 ????????,B,2,Subject-wise,Marathi/English
VR-GK-005,Vanrakshak,General Knowledge,????????????? ????? ?????? ??????,???,???????,?????,????,C,2,Subject-wise,Marathi/English
VR-INT-001,Vanrakshak,Intelligence Test,"3, 9, 27, 81, ? ????? ?????? ??????",162,243,216,324,B,2,Subject-wise,Marathi/English
VR-INT-002,Vanrakshak,Intelligence Test,????????? ?????? ??? ??????,???,????,?????,????,D,2,Subject-wise,Marathi/English
VR-INT-003,Vanrakshak,Intelligence Test,"?? 'TREE' ?? ???????? ????? 'USFF' ???????, ?? 'LEAF' ??? ???????",MFBG,MFGB,MBFG,MGBF,A,2,Subject-wise,Marathi/English
VR-INT-004,Vanrakshak,Intelligence Test,"A, B ???? ???????? ??? ??? C, B ???? ???????? ???. C, A ???? ??????? ?????? ????",??????,??????,??????,??????,A,2,Subject-wise,Marathi/English
VR-INT-005,Vanrakshak,Intelligence Test,"2, 5, 10, 17, 26, ? ????? ?????? ??????",35,37,36,38,B,2,Subject-wise,Marathi/English
GD-REA-001,SSC GD,General Intelligence & Reasoning,"Find the odd one out: Square, Circle, Triangle, Wood",Square,Circle,Wood,Triangle,C,2,Subject-wise,Marathi/English
GD-REA-002,SSC GD,General Intelligence & Reasoning,"Complete the series: 4, 8, 16, 32, ?",48,64,56,60,B,2,Subject-wise,Marathi/English
GD-REA-003,SSC GD,General Intelligence & Reasoning,"If 'BOOK' is coded as 'CPPL', how is 'PEN' coded?",QFO,QGO,QFP,RFO,A,2,Subject-wise,Marathi/English
GD-REA-004,SSC GD,General Intelligence & Reasoning,"Pointing to a man, a woman said, 'His mother is the only daughter of my mother.' How is the woman related to the man?",Mother,Sister,Aunt,Grandmother,A,2,Subject-wise,Marathi/English
GD-REA-005,SSC GD,General Intelligence & Reasoning,"Find the missing number: 7, 14, 28, 56, ?",112,98,84,120,A,2,Subject-wise,Marathi/English
GD-GK-001,SSC GD,General Knowledge & General Awareness,Who is known as the 'Father of the Indian Constitution'?,Mahatma Gandhi,B.R. Ambedkar,Jawaharlal Nehru,Sardar Patel,B,2,Subject-wise,Marathi/English
GD-GK-002,SSC GD,General Knowledge & General Awareness,The Headquarters of the United Nations is located in:,London,Geneva,New York,Paris,C,2,Subject-wise,Marathi/English
GD-GK-003,SSC GD,General Knowledge & General Awareness,Which is the largest river in India by length?,Godavari,Yamuna,Ganga,Brahmaputra,C,2,Subject-wise,Marathi/English
GD-GK-004,SSC GD,General Knowledge & General Awareness,The 'Battle of Plassey' was fought in the year:,1757,1857,1764,1707,A,2,Subject-wise,Marathi/English
GD-GK-005,SSC GD,General Knowledge & General Awareness,Which gas is most abundant in the Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,C,2,Subject-wise,Marathi/English
GD-MAT-001,SSC GD,Elementary Mathematics,What is 15% of 400?,45,60,50,55,B,2,Subject-wise,Marathi/English
GD-MAT-002,SSC GD,Elementary Mathematics,"The average of 10, 20, 30, 40 is:",20,30,25,35,B,2,Subject-wise,Marathi/English
GD-MAT-003,SSC GD,Elementary Mathematics,A train covers 300 km in 5 hours. What is its speed?,50 km/h,60 km/h,55 km/h,65 km/h,B,2,Subject-wise,Marathi/English
GD-MAT-004,SSC GD,Elementary Mathematics,"If the cost price is Rs.200 and selling price is Rs.250, what is the profit percentage?",20%,25%,30%,15%,B,2,Subject-wise,Marathi/English
GD-MAT-005,SSC GD,Elementary Mathematics,Simplify: 12 + 6 x 2 - 4,20,26,16,24,A,2,Subject-wise,Marathi/English
GD-ENG-001,SSC GD,English/Hindi,Choose the correct synonym of 'Brave':,Weak,Courageous,Timid,Lazy,B,2,Subject-wise,Marathi/English
GD-ENG-002,SSC GD,English/Hindi,Fill in the blank: She ___ to school every day.,go,goes,going,gone,B,2,Subject-wise,Marathi/English
GD-ENG-003,SSC GD,English/Hindi,Choose the antonym of 'Increase':,Rise,Grow,Decrease,Expand,C,2,Subject-wise,Marathi/English
GD-ENG-004,SSC GD,English/Hindi,Identify the correctly spelled word:,Recieve,Receive,Receeve,Receve,B,2,Subject-wise,Marathi/English
GD-ENG-005,SSC GD,English/Hindi,Choose the correct passive voice: 'They built a bridge.',A bridge was built by them.,A bridge builds them.,They were built a bridge.,A bridge is built them.,A,2,Subject-wise,Marathi/English
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
